feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid,p_bh,sig_bh,sig_raw
density_permissions,D1,density_permissions (LLM),RF_Full,0.0884468650550434,0.0578563293896067,0.0480194544638599,1.8418964988785889,0.0654902908468089,-0.0056695362513831,0.18256326636147,50,0.09168640718553246,†,†
density_permissions,D1,density_permissions (LLM),RF_NoVeh,0.0927589800305453,0.0607135386037883,0.0509381610290475,1.821011559048028,0.0686050997991234,-0.0070779810250895,0.1925959410861803,50,0.09858641218879488,†,†
density_permissions,D1,density_permissions (LLM),GB_Full,0.0294145237863298,0.0262070339838702,0.0203901732690953,1.4425833168819815,0.1491378857755809,-0.0105494814596283,0.069378529032288,50,0.19574347508044992,,
density_permissions,D1,density_permissions (LLM),GB_NoVeh,0.0266848842659098,0.0262163326648071,0.0202304418131207,1.3190460451834007,0.1871537193442042,-0.01296605307914,0.0663358216109598,50,0.23949264775817708,,
min_lot_area,D1,"min_lot_area (scraped, inv.)",RF_Full,0.0389884301836763,0.0197553199501774,0.0168856439669816,2.308969101795275,0.0209452958805084,0.0058931761526263,0.0720836842147264,50,0.04398512134906764,*,*
min_lot_area,D1,"min_lot_area (scraped, inv.)",RF_NoVeh,0.0403401780546966,0.0203530771499653,0.0170977206634708,2.3593892337288707,0.0183050446511837,0.0068292613365676,0.0738510947728257,50,0.03844059376748577,*,*
min_lot_area,D1,"min_lot_area (scraped, inv.)",GB_Full,0.0378492142032536,0.0099035766171556,0.0083702662668237,4.521865015605535,6.129714598263485e-06,0.0214437937792684,0.0542546346272387,50,4.290800218784439e-05,***,***
min_lot_area,D1,"min_lot_area (scraped, inv.)",GB_NoVeh,0.0380700258664611,0.0100019822099335,0.0083530923387851,4.55759667467031,5.1742276364711776e-06,0.0216982657229048,0.0544417860100174,50,3.621959345529824e-05,***,***
max_height,D1,max_height (scraped),RF_Full,-0.0524923577760484,0.0243208978471797,0.0247539507444219,-2.1205648471235303,0.0339584389987273,-0.1010092097101938,-0.003975505841903,50,0.06482974717938848,†,*
max_height,D1,max_height (scraped),RF_NoVeh,-0.0560938505822081,0.0244127349132637,0.0260935017287209,-2.149724907196565,0.0315769810817393,-0.1072361742010348,-0.0049515269633813,50,0.05100896943973272,†,*
max_height,D1,max_height (scraped),GB_Full,-0.0134880316829044,0.0156787015632718,0.0148493597581351,-0.9083241232346864,0.3637070009701337,-0.0425922420023277,0.0156161786365187,50,0.42432483446515595,,
max_height,D1,max_height (scraped),GB_NoVeh,-0.0115293774157146,0.0158123986027867,0.0152516647121398,-0.7559422288202802,0.4496838337454368,-0.0414220909557891,0.0183633361243599,50,0.5246311393696763,,
use_mixing,D2a,use_mixing (LLM),RF_Full,0.0462125985099495,0.0324620864298097,0.0257698737488619,1.7932799733638751,0.072928167978198,-0.004295425923964,0.0967206229438632,50,0.09571822047138487,†,†
use_mixing,D2a,use_mixing (LLM),RF_NoVeh,0.0424372161756535,0.0324576154688325,0.0267130930074252,1.5886298214833292,0.1121439913793183,-0.0099194840345687,0.0947939163858758,50,0.13853081288033436,,
use_mixing,D2a,use_mixing (LLM),GB_Full,0.0213477105473674,0.0133284760023698,0.0103874285958947,2.0551487165749966,0.0398646427146755,0.0009887246074323,0.0417066964873025,50,0.06976312475068212,†,*
use_mixing,D2a,use_mixing (LLM),GB_NoVeh,0.0203654460048115,0.0132542534606853,0.0101803327239281,2.000469587496281,0.0454495807365516,0.0004123605152777,0.0403185314943453,50,0.0795367662889653,†,*
use_flexibility,D2b,use_flexibility (LLM),RF_Full,0.0961581352175709,0.0347577887909252,0.0268610433177564,3.5798361992144145,0.0003438096530198,0.043511457727598,0.1488048127075437,50,0.002351117698178674,**,***
use_flexibility,D2b,use_flexibility (LLM),RF_NoVeh,0.1005645022865148,0.0354820588455291,0.0269098463084271,3.737089433135187,0.0001861627221629,0.0478221726924896,0.1533068318805401,50,0.00195470858271045,**,***
use_flexibility,D2b,use_flexibility (LLM),GB_Full,0.024904807520667,0.012633840968804,0.0101714388229917,2.448503889574757,0.0143450881138416,0.0049691537566506,0.0448404612846833,50,0.030124685039067362,*,*
use_flexibility,D2b,use_flexibility (LLM),GB_NoVeh,0.0262603966511179,0.0127338959999576,0.0102983888921863,2.5499519319029056,0.0107737772405984,0.0060759253236453,0.0464448679785904,50,0.02513881356139627,*,*
parking_intensity,D3,"parking_intensity (LLM, inv.)",RF_Full,0.0909470963358081,0.0436778068714193,0.030922921134522,2.941090071670996,0.0032705941646666,0.0303392846153723,0.1515549080562439,50,0.01373649549159972,*,**
parking_intensity,D3,"parking_intensity (LLM, inv.)",RF_NoVeh,0.0838700489730217,0.0460413650706846,0.0311380972346287,2.693486642457706,0.0070708978693766,0.0228404998460431,0.1448995981000002,50,0.0212126936081298,*,**
