backend,dimension,theta,se,se_within,se_across,pval,p_bh,bh_sig,n_fits
tfidf,emb_000,0.0645502757457623,0.0503319515649966,0.0301348837987518,0.0403136965159099,0.1996704541716805,0.3807431894970187,False,50.0
tfidf,emb_001,-0.0276194476757042,0.0252957690533739,0.0184287223472729,0.0173279578903214,0.2748944804563638,0.4629801776107179,False,50.0
tfidf,emb_002,0.0999802712289849,0.0347971041732547,0.0206900052272062,0.0279778866704138,0.0040629126991968,0.0325033015935751,True,50.0
tfidf,emb_003,0.0862316157740339,0.0851714306736177,0.0564974568710254,0.0637354686975587,0.3113240597462929,0.4756173072266372,False,50.0
tfidf,emb_004,0.0431655432261759,0.077439796833661,0.0397318693210394,0.0664702993365799,0.5772488688477382,0.6597129929688437,False,50.0
tfidf,emb_005,-0.0357005902872214,0.0287401388339309,0.018855791647883,0.0216899677621994,0.214168044092073,0.3807431894970187,False,50.0
tfidf,emb_006,-0.1119442780746275,0.0540390623456309,0.0342524134322903,0.0417970385704352,0.038308016898386,0.1532320675935441,False,50.0
tfidf,emb_007,0.0554194982164878,0.0308436153747659,0.0230443538576866,0.0205008869239411,0.0723689719910323,0.2105279185193667,False,50.0
tfidf,emb_008,0.0472695830994472,0.063097169843533,0.0410697648666886,0.047901223951571,0.4537635702421747,0.5584782402980613,False,50.0
tfidf,emb_009,-0.0893850719588272,0.0279208533274391,0.0201983849374375,0.0192769109675659,0.001367742515792,0.0182457530070792,True,50.0
tfidf,emb_010,0.0332711536799667,0.0182890470238051,0.0133153458175866,0.0125375757942687,0.0688832632947191,0.2105279185193667,False,50.0
tfidf,emb_011,0.0023822051366525,0.024021456954816,0.0194139294244644,0.0141467218299503,0.9210033848258,0.950713171433084,False,50.0
tfidf,emb_012,-0.0771369155754364,0.0290462844001658,0.0198584880944827,0.0211973368151898,0.0079154506097991,0.0422157365855954,True,50.0
tfidf,emb_013,0.0340841288035972,0.023182932461618,0.0159784203450533,0.0167969771327084,0.1415008034486997,0.3483096700275686,False,50.0
tfidf,emb_014,-0.0333393859350125,0.0180938910301758,0.0121800243468172,0.0133804297211568,0.0653908068443214,0.2105279185193667,False,50.0
tfidf,emb_015,-0.0007501068497572,0.0324581016610952,0.0156686613126176,0.0284257175127115,0.9815625260128032,0.9815625260128032,False,50.0
tfidf,emb_016,-0.0132439035073567,0.0175885767024857,0.0133426767068751,0.0114599742021977,0.4514599842857651,0.5584782402980613,False,50.0
tfidf,emb_017,-0.0229700459882255,0.0174533088783594,0.0120880500807875,0.0125895605978838,0.1881453616470518,0.3807431894970187,False,50.0
tfidf,emb_018,0.0133759573132124,0.0309636110925718,0.0166511951510434,0.0261052276744315,0.6657489873351239,0.7346195722318608,False,50.0
tfidf,emb_019,0.069332340781347,0.0221059271182878,0.0140517841175314,0.0170651509478629,0.0017105393444136,0.0182457530070792,True,50.0
tfidf,emb_020,0.0020562272453168,0.0107108178023927,0.007922495845915,0.0072080286880333,0.8477604720590828,0.9042778368630215,False,50.0
tfidf,emb_021,0.0297023522102426,0.0303023068282941,0.0135086809798846,0.0271246260305978,0.3269868987183131,0.4756173072266372,False,50.0
tfidf,emb_022,0.039284802151799,0.0316204638857505,0.0170656030114766,0.0266198972613481,0.2140944058697114,0.3807431894970187,False,50.0
tfidf,emb_023,-0.0159721892845772,0.005780502972322,0.0037493638410007,0.0043996005956018,0.0057252748053135,0.036641758754007,True,50.0
tfidf,emb_024,0.0178137256493815,0.0219626283067995,0.0168503630879261,0.0140862452750081,0.417312485911617,0.5564166478821561,False,50.0
tfidf,emb_025,-0.0223831301807629,0.0224727079671174,0.0153072491935042,0.0164532892001358,0.3192433769428593,0.4756173072266372,False,50.0
tfidf,emb_026,-0.0542230162950991,0.0249972738620482,0.0173162276268154,0.0180280881213331,0.0300707521382879,0.1374662954893162,False,50.0
tfidf,emb_027,-0.0353069280025588,0.0250024112830068,0.0150438294009192,0.0199700717805587,0.1579084729441362,0.36093365244374,False,50.0
tfidf,emb_028,0.0216055373003305,0.0227483784731806,0.017076338135729,0.0150295508593342,0.3422333801498332,0.4761507897736809,False,50.0
tfidf,emb_029,-0.0145872385812601,0.0215508376940177,0.0163675533300362,0.0140193367639954,0.4984848162315565,0.5907968192374002,False,50.0
tfidf,emb_030,-0.120526990711175,0.036721593933716,0.0249587001512272,0.026935826473191,0.0010300673789127,0.0182457530070792,True,50.0
tfidf,emb_031,-0.0609139094372081,0.0356644507453352,0.0241983666611035,0.0261990858218609,0.0876414018851152,0.233710405026974,False,50.0
minilm,emb_000,0.0599948857855107,0.0188307432247857,,,0.0014425094662968,,True,
minilm,emb_001,0.0195682297195485,0.0191447172936391,,,0.3067233351244252,,False,
minilm,emb_002,-0.0276503364370306,0.019240874867105,,,0.1507002841286697,,False,
minilm,emb_003,-0.0187388051416419,0.0165687612760884,,,0.2580668750604538,,False,
minilm,emb_004,0.0487977579698368,0.0204429363760012,,,0.0169854316449447,,False,
minilm,emb_005,0.0259472471036252,0.0219115414022141,,,0.236341130907753,,False,
minilm,emb_006,0.0001117190222217,0.0223340434850172,,,0.9960088502870894,,False,
minilm,emb_007,0.0148563619796546,0.0195308751235363,,,0.4468599731713094,,False,
minilm,emb_008,-0.013214273656052,0.0132332102208028,,,0.318003517748795,,False,
minilm,emb_009,0.0122571144491701,0.0134158010749693,,,0.360909882277137,,False,
minilm,emb_010,0.0403731112689654,0.0220988752018071,,,0.0677102051234599,,False,
minilm,emb_011,-0.0308787799836465,0.0209182948421721,,,0.1399005615842723,,False,
minilm,emb_012,-0.0077994312465902,0.0173541501905322,,,0.6531233423283225,,False,
minilm,emb_013,-0.0321089365322225,0.0160466782472417,,,0.0453955238424066,,False,
minilm,emb_014,-0.0465115168444785,0.0228073191760042,,,0.0414176867037081,,False,
minilm,emb_015,-0.0022553621955295,0.016216986607661,,,0.889391624804583,,False,
minilm,emb_016,-0.0063411975570597,0.0158739694242792,,,0.6895458574940352,,False,
minilm,emb_017,0.023233803938345,0.0212129565331958,,,0.2734006574817282,,False,
minilm,emb_018,-0.0561775782110984,0.0134442738071095,,,2.933727477794079e-05,,True,
minilm,emb_019,0.0039997809416377,0.0211887598013987,,,0.8502738715248581,,False,
minilm,emb_020,0.0106002644624748,0.0163795594309077,,,0.5175256789623186,,False,
minilm,emb_021,0.0722793093800102,0.0154168848604624,,,2.7545532688133534e-06,,True,
minilm,emb_022,0.0262613428342267,0.0220652075994532,,,0.2339796761237784,,False,
minilm,emb_023,-0.0225964498998791,0.0217755836823482,,,0.2994113123326032,,False,
minilm,emb_024,0.0071911295774096,0.0193040533821417,,,0.7095063559117987,,False,
minilm,emb_025,-0.0743472403072029,0.0147613754066131,,,4.7385734602833917e-07,,True,
minilm,emb_026,0.030469308717393,0.0147855595627794,,,0.0393271108405932,,False,
minilm,emb_027,0.0350821805382157,0.0194408535809585,,,0.0711436121217967,,False,
minilm,emb_028,-0.0135003405369146,0.0183726278956048,,,0.4624568792208006,,False,
minilm,emb_029,0.020811440272413,0.014012360398219,,,0.1374855110483674,,False,
minilm,emb_030,0.0153692099882345,0.0111029022281688,,,0.1662814335492317,,False,
minilm,emb_031,-0.0153461673811238,0.0152600744830149,,,0.3145879526963453,,False,
mpnet,emb_000,-0.0028190783885982,0.024805856231458,0.0199168683293303,0.0147867798836625,0.909518674843422,0.9816733622215514,False,50.0
mpnet,emb_001,-0.0035942475501422,0.0375347987484493,0.0180183827302604,0.0329271772381485,0.923712980584775,0.9816733622215514,False,50.0
mpnet,emb_002,0.0013987986460615,0.0373583968095404,0.0225299651611994,0.0298001758722028,0.9701320396141224,0.9816733622215514,False,50.0
mpnet,emb_003,0.0547291114879564,0.0304632024479815,0.0161487722965282,0.02583067665977,0.0724047666302203,0.3278742737329132,False,50.0
mpnet,emb_004,0.0593797931410072,0.1117978751041748,0.0728848951333065,0.0847735627375396,0.5953250536983647,0.7937667382644863,False,50.0
mpnet,emb_005,-0.0060619493670716,0.0349235396062996,0.0299004608665363,0.0180448346792513,0.8621973208278675,0.9816733622215514,False,50.0
mpnet,emb_006,0.0425710556256818,0.0447116961951407,0.0377936049953411,0.0238909857080592,0.3410343640874869,0.6527375223687474,False,50.0
