feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid,p_bh,sig_bh,sig_raw
density_permissions,D1,density_permissions (LLM),RF_Full,0.0884468650550434,0.0578563293896067,0.0480194544638599,1.8418964988785889,0.0654902908468089,-0.0056695362513831,0.18256326636147,50,0.09168640718553246,†,†
density_permissions,D1,density_permissions (LLM),RF_NoACS,0.0418093688622817,0.0050741858662848,0.0048283264653949,8.659184328552145,4.75151942241272e-18,0.032346022884506,0.0512727148400574,50,2.494547696766678e-17,***,***
density_permissions,D1,density_permissions (LLM),GB_Full,0.0294145237863298,0.0262070339838702,0.0203901732690953,1.4425833168819815,0.1491378857755809,-0.0105494814596283,0.069378529032288,50,0.19574347508044992,,
density_permissions,D1,density_permissions (LLM),GB_NoACS,0.0401225550825947,0.0047733573949765,0.0040042047225308,10.020105829463033,1.243697021695103e-23,0.0322744580397091,0.0479706521254804,50,2.6117637455597165e-22,***,***
min_lot_area,D1,"min_lot_area (scraped, inv.)",RF_Full,0.0389884301836763,0.0197553199501774,0.0168856439669816,2.308969101795273,0.0209452958805085,0.0058931761526263,0.0720836842147263,50,0.043985121349067846,*,*
min_lot_area,D1,"min_lot_area (scraped, inv.)",RF_NoACS,0.0108633934114936,0.0039728309637046,0.003751286506612,2.8959114139497784,0.0037805910564578,0.0035110069628429,0.0182157798601443,50,0.004410689565867433,**,**
min_lot_area,D1,"min_lot_area (scraped, inv.)",GB_Full,0.0378492142032536,0.0099035766171556,0.0083702662668237,4.521865015605535,6.129714598263485e-06,0.0214437937792684,0.0542546346272387,50,4.290800218784439e-05,***,***
min_lot_area,D1,"min_lot_area (scraped, inv.)",GB_NoACS,0.008589451635222616,0.003776670301796482,0.003475827695355778,2.4711960396366592,0.013466197524424165,0.0017769545358584313,0.0154019487345868,50,0.013466197524424165,*,*
max_height,D1,max_height (scraped),RF_Full,-0.05249235777604846,0.024320897847179734,0.024753950744421924,-2.1205648471235294,0.03395843899872743,-0.10100920971019389,-0.003975505841903031,50,0.06482974717938873,†,*
max_height,D1,max_height (scraped),RF_NoACS,0.01569641700902509,0.00418719615448015,0.0036654876802087806,4.282217914351589,1.8503963332998508e-05,0.00851219317004061,0.022880640848009573,50,2.590554866619791e-05,***,***
max_height,D1,max_height (scraped),GB_Full,-0.013488031682904498,0.015678701563271842,0.014849359758135101,-0.9083241232346863,0.36370700097013375,-0.0425922420023277,0.015616178636518707,50,0.42432483446515606,,
max_height,D1,max_height (scraped),GB_NoACS,0.016120548762829104,0.004042817474439385,0.0036817955584796686,4.378447555487246,1.1952769554762757e-05,0.008904362069769418,0.02333673545588879,50,1.568801004062612e-05,***,***
use_mixing,D2a,use_mixing (LLM),RF_Full,0.046212598509949514,0.03246208642980974,0.025769873748861954,1.7932799733638722,0.07292816797819848,-0.004295425923964098,0.09672062294386313,50,0.0957182204713855,†,†
use_mixing,D2a,use_mixing (LLM),RF_NoACS,0.024395941466498143,0.004482879606874639,0.0036718257545143877,6.644090187695902,3.050957270611904e-11,0.01719929523014333,0.031592587702852955,50,6.407010268284998e-11,***,***
use_mixing,D2a,use_mixing (LLM),GB_Full,0.021347710547367425,0.013328476002369813,0.010387428595894706,2.0551487165749966,0.039864642714675526,0.000988724607432337,0.04170669648730251,50,0.06976312475068218,†,*
use_mixing,D2a,use_mixing (LLM),GB_NoACS,0.02265117342413121,0.0042251899701767045,0.0037040152780324783,6.115302374282646,9.637404923055645e-10,0.015391436881001436,0.029910909967260983,50,1.6865458615347378e-09,***,***
use_flexibility,D2b,use_flexibility (LLM),RF_Full,0.09615813521757091,0.034757788790925295,0.026861043317756423,3.579836199214415,0.0003438096530198004,0.04351145772759804,0.14880481270754378,50,0.002351117698178674,**,***
use_flexibility,D2b,use_flexibility (LLM),RF_NoACS,0.033652611233991415,0.004538901961727556,0.0036942470607583986,9.109464169698171,8.278984162198062e-20,0.026412020044912003,0.04089320242307083,50,8.692933370307965e-19,***,***
use_flexibility,D2b,use_flexibility (LLM),GB_Full,0.024904807520667,0.01263384096880407,0.010171438822991753,2.4485038895747575,0.014345088113841694,0.004969153756650687,0.04484046128468332,50,0.030124685039067556,*,*
use_flexibility,D2b,use_flexibility (LLM),GB_NoACS,0.029712128313665848,0.004297528815052503,0.003398010752734737,8.743977131253446,2.250450246849879e-18,0.023052149619225925,0.036372107008105774,50,6.7513507405496366e-18,***,***
